id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
5.0127E+15,O5kp1xclQ,5224680641,钮祜禄雷,#天水麻辣烫#天水麻辣烫可以提供一次性围裙吗真的很容易溅油滴呜呜呜@天水文化旅游,,天水,天水文化旅游,天水麻辣烫,0,1,0,2024/3/16 23:54,Xiaomi 13,,,,甘肃
5.0127E+15,O5knKmRkL,2425519101,飞五F5,天水麻辣烫火了，可是机票价格还是如此实在；赶紧开通新航线吧，我们都来吃麻辣烫！#飞行日记##不止飞行##天水麻辣烫#天水超话,,,,"飞行日记,不止飞行,天水麻辣烫",0,0,4,2024/3/16 23:50,iPhone客户端,['https://wx2.sinaimg.cn/large/90927bfdly1hnt9qk1i33j20wr0pz43f.jpg'],,,河北
5.0127E+15,O5klIcqBG,2853316154,王旭江营养师,#甘肃天水麻辣烫究竟有多香#你想尝尝吗？沾满了辣子的土豆粉、裹满酱汁的丸子面筋、浸满汁水的焦香洋芋片……近日，甘肃天水麻辣烫火出圈，当地开通了麻辣烫公交专线，甚至#天水麻辣烫#还出了英文宣传视频。网友：光看视频都香迷糊了！#天水美食#L中国新闻网的微博视频,,,,"甘肃天水麻辣烫究竟有多香,天水麻辣烫,天水美食",0,0,0,2024/3/16 23:45,iPhone客户端,,"http://f.video.weibocdn.com/o0/PLVIvswflx08dh7nf91K01041200o3en0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713178098&ssig=nI1IulNBmj&KID=unistore,video",,甘肃
5.0127E+15,O5kjp0mte,5341977481,胖娱鸭鸭,我说天水麻辣烫老板这一幕怎似曾相识啊#天水麻辣烫##淄博烧烤#L胖娱鸭鸭的微博视频,,,,"天水麻辣烫 ,淄博烧烤 ",1,0,1,2024/3/16 23:40,微博视频号,,"http://f.video.weibocdn.com/u0/uzvLXfiIgx08dl3y6QDu01041200aeQK0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713178098&ssig=eNohYvIVdN&KID=unistore,video",,广西
5.01269E+15,O5kewe9jM,2853316154,王旭江营养师,甘肃#天水麻辣烫#的热度，最近确实可以用“烫”来形容。从营养角度看，无论哪里的麻辣烫，都具有明显的优势和劣势。如果短时间内无法品尝天水麻辣烫，大家可以尝试在家简单“复刻”。网购定西宽粉等特色食材能让成品更地道。调味上，油泼辣子的制作是个难点，下面推荐一个简单做法。#微博健康公开课##健康一春#O甘肃“天水麻辣烫”火爆了！营养师教你在家也能做同款,,,,"天水麻辣烫,微博健康公开课,健康一春",0,0,0,2024/3/16 23:28,iPhone客户端,,,,甘肃
5.01269E+15,O5kbAmFc4,1098025444,La_eeb999,#天水麻辣烫##甘肃天水麻辣烫#天水超话1622万粉丝量的大V，来吃麻辣粉了。这绝对是顶流吧？不太懂dy，平时也很少打开dy。,,天水·天水古城,,"天水麻辣烫,甘肃天水麻辣烫",0,4,1,2024/3/16 23:20,,"['https://wx3.sinaimg.cn/large/417289e4ly1hnt8ufhnxmj21402ejhcy.jpg', 'https://wx2.sinaimg.cn/large/417289e4ly1hnt8ugp53kj21402gwtxj.jpg']",,,甘肃
5.01269E+15,O5ka7uN8F,5833306529,Kepooooo-,没想到我天水麻辣烫也有火了的一天，尊嘟很好吃哈哈哈#天水麻辣烫#,,,,天水麻辣烫,0,1,1,2024/3/16 23:17,iPhone客户端,"['https://wx1.sinaimg.cn/large/006mLXvbly1hnt8qx329uj30rs1igtsd.jpg', 'https://wx4.sinaimg.cn/large/006mLXvbly1hnt8qw60nmj31881bmnj7.jpg']",,,陕西
5.01269E+15,O5k889YuQ,6577342755,贪玩小柳,好好好抖音都是天水麻辣烫那不得不拿出我以前吃过的了#天水麻辣烫还出了英文宣传视频##天水麻辣烫#,,,,"天水麻辣烫还出了英文宣传视频,天水麻辣烫",0,1,3,2024/3/16 23:12,iPhone客户端,['https://wx4.sinaimg.cn/large/007b7Rjtly1hnt8m7hvg3j30u0140k1o.jpg'],,,甘肃
5.01269E+15,O5k4lvsT6,6745104010,慢三慢四桃罐头麦乳精,#天水麻辣烫#对天水的唯一印象就是《三国演义》,,,,天水麻辣烫,0,2,0,2024/3/16 23:03,iPhone客户端,,,,山东
5.01269E+15,O5k3Ry7v8,7439671806,琳静z-x,#天水麻辣烫##天水古城#春暖花开，顺心顺意。,,,,"天水麻辣烫,天水古城",0,2,0,2024/3/16 23:01,OPPO K10 Pro 5G,"['https://wx4.sinaimg.cn/large/0087u6uyly1hnt88c4v6fj30zj1beh0v.jpg', 'https://wx4.sinaimg.cn/large/0087u6uyly1hnt88d4g7nj31be0zj4e9.jpg', 'https://wx1.sinaimg.cn/large/0087u6uyly1hnt88fo4buj31be0zjarl.jpg', 'https://wx3.sinaimg.cn/large/0087u6uyly1hnt88cne75j31be0zj4ie.jpg', 'https://wx1.sinaimg.cn/large/0087u6uyly1hnt88endjpj31be0zjaqa.jpg', 'https://wx1.sinaimg.cn/large/0087u6uyly1hnt88dm891j31be0zjh3x.jpg', 'https://wx3.sinaimg.cn/large/0087u6uyly1hnt88b90c4j30zj10egxr.jpg', 'https://wx1.sinaimg.cn/large/0087u6uyly1hnt88dy3skj30zj1be7i2.jpg', 'https://wx2.sinaimg.cn/large/0087u6uyly1hnt88facmsj31be0zjx0n.jpg']",,,甘肃
