id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
5018672529670418,O7PKYEzIu,6305582542,主厨戴广坦,最近真的被天水麻辣烫馋得不行，自己动手按照配方做了油泼辣子，手擀粉，洋芋丸子，还串了许多其他的麻辣烫配菜。烫好的食材用刷子刷上满满的辣子酱，工作室的小伙伴人手一盆，一边吃得直冒汗一边根本停不下来！我还没吃过正宗的，但复刻的这个版本的确很香，感觉不错#麻辣烫##天水麻辣烫#,,,,"麻辣烫,天水麻辣烫",91,172,1486,2024-04-02 11:23,iPhone 15 Pro,"['https://wx3.sinaimg.cn/large/006SJA4ely1hocbc0911nj33b04eoe84.jpg', 'https://wx3.sinaimg.cn/large/006SJA4ely1hocbc2wbvmj330q40ge84.jpg', 'https://wx2.sinaimg.cn/large/006SJA4ely1hocbc5veluj33b04eou11.jpg', 'https://wx4.sinaimg.cn/large/006SJA4ely1hocbc8cyucj337849n4qs.jpg', 'https://wx4.sinaimg.cn/large/006SJA4ely1hocbcazbmtj335h4864qs.jpg', 'https://wx1.sinaimg.cn/large/006SJA4ely1hocbcgafeqj33b04eo1l2.jpg', 'https://wx2.sinaimg.cn/large/006SJA4ely1hocbcdpy5xj32vl3u5kjn.jpg', 'https://wx3.sinaimg.cn/large/006SJA4ely1hocbcjzwbaj331k423kjo.jpg', 'https://wx2.sinaimg.cn/large/006SJA4ely1hocbcl1u3wj32c0340kjl.jpg']",,,上海
5019166706764430,O82C2snJI,5943584377,大西米君,天水本地人这点家底儿全让我抖出来了！除了麻辣烫以外，还有哪些人间值得的特色美食？先🐎再看，别回头找不到了#天水麻辣烫##天水美食#L大西米君的微博视频,,,,"天水麻辣烫,天水美食",71,66,571,2024-04-03 20:07,微博视频号,,"http://f.video.weibocdn.com/o0/3Z8JGbT4lx08dNwZPddS01041201OHep0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191871&ssig=L%2FMbcag%2BCf&KID=unistore,video",,甘肃
5018807506309589,O7TgGqtpz,5943584377,大西米君,【天水人从小吃到大】不用排队、从小吃到大的麻辣烫店！！只有一口和无数口！#天水麻辣烫##天水美食#L大西米君的微博视频,,,,"天水麻辣烫,天水美食",43,57,475,2024-04-02 20:20,微博视频号,,"http://f.video.weibocdn.com/o0/6aiWKIJAlx08dLWXwGi401041201CK8h0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191871&ssig=PgsGBKPnON&KID=unistore,video",,甘肃
5016263162596917,O6P4UaTzL,6471641468,飞天小娱警,天水酒店小卡片#天水麻辣烫##酒店小卡片##天水#L飞天小娱警的微博视频,,,,"天水麻辣烫,酒店小卡片,天水",19,17,1001,2024-03-26 19:49,微博视频号,,"http://f.video.weibocdn.com/o0/a8P1AwONlx08dAKE1kr6010412002W3O0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191871&ssig=cD%2B6Ie0Vz0&KID=unistore,video",,浙江
5023348893944938,O9Npvgyg2,1774269941,翟翾,麻辣燙姐差點逼瘋翟翟？#翟翾##麻辣烫姐##中国人##天水麻辣烫#L翟翾的微博视频,,,,"翟翾,麻辣烫姐,中国人,天水麻辣烫",9,45,242,2024-04-15 09:06,微博视频号,,"http://f.video.weibocdn.com/o0/sRPTWxCNlx08e5W92KKI01041200z53w0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191871&ssig=frAkPENaze&KID=unistore,video",,中国台湾
5020000050217944,O8oi90UHe,5353109716,刘重儒,天水麻辣烫最近不是挺火吗。三个人上完网非要吃点宵夜。终于找到了一家天水麻辣烫。激动的跑着进店的进去之前还拍了个照。也没仔细看。店里明显是刚装修完，点了140。店员和厨师基本都是稀里糊涂的。难吃的普通麻辣烫。钱还划错了不想给我退，让我明天来吃。刚才发微博的时候我才发现这🐎招牌是正宗川味麻辣烫。挂了个天水麻辣烫的横幅…#天水麻辣烫##医生建议不要饿着肚子睡觉#,,兰州·宏建美仑国际酒店(兰州中川机场店),,"天水麻辣烫,医生建议不要饿着肚子睡觉",3,34,301,2024-04-06 03:19,iPhone 15 Pro Max,"['https://wx3.sinaimg.cn/large/005Qh6nily1hogjgp79mwj33b04eohdw.jpg', 'https://wx2.sinaimg.cn/large/005Qh6nily1hogjguhd23j33b04eox6s.jpg', 'https://wx2.sinaimg.cn/large/005Qh6nily1hogjgxl534j32c0340qv6.jpg', 'https://wx3.sinaimg.cn/large/005Qh6nily1hogjjuizpvj30v91vowlc.jpg', 'https://wx1.sinaimg.cn/large/005Qh6nily1hogjjv1k1bj30u01syn1d.jpg']",,,甘肃
5011892588514504,O4ZnAzJ0I,1502844527,新浪旅游,热辣的#天水麻辣烫#让甘肃爆火出圈！你去过甘肃吗？你最喜欢甘肃哪个景点？又对哪个甘肃美食念念不忘？#一张照片证明我来过甘肃#，快来晒图，分享你的甘肃旅行碎片吧！#想去甘肃的心达到了顶峰#,,,,"天水麻辣烫,一张照片证明我来过甘肃,想去甘肃的心达到了顶峰",709,676,4327,2024-03-14 18:22,微博网页版,"['https://wx3.sinaimg.cn/large/001DHMvRly1hnqp0t3wkkj61jk2bc1ky02.jpg', 'https://wx4.sinaimg.cn/large/001DHMvRly1hnqp0s077pj61jk111ngh02.jpg', 'https://wx3.sinaimg.cn/large/001DHMvRly1hnqp0s2atkj61jk1111by02.jpg', 'https://wx3.sinaimg.cn/large/001DHMvRly1hnqp0s4ek5j61jk1111du02.jpg', 'https://wx4.sinaimg.cn/large/001DHMvRly1hnqp0scmc6j61jk111e7402.jpg', 'https://wx3.sinaimg.cn/large/001DHMvRly1hnqp0sftw0j61jk1121kx02.jpg', 'https://wx3.sinaimg.cn/large/001DHMvRly1hnqp0t0tauj61jk2231ky02.jpg', 'https://wx4.sinaimg.cn/large/001DHMvRly1hnqp0t0sdvj61jk223x6p02.jpg', 'https://wx1.sinaimg.cn/large/001DHMvRly1hnqp0skgz1j61jk223np302.jpg']",,,北京
5011740310375389,O4VpZ1zEF,2810373291,新华网,【秀我中国|#你最想吃的甘肃美食是什么#？】#除了麻辣烫还有这些甘肃美食#天水麻辣烫火了，带火了“天水”这座西北小城，除了麻辣烫甘肃还有哪些美食？戳视频↓↓#天水麻辣烫#@秀我中国L新华网的微博视频,,,秀我中国,"你最想吃的甘肃美食是什么,除了麻辣烫还有这些甘肃美食,天水麻辣烫",137,210,1335,2024-03-14 08:17,微博视频号,,"http://f.video.weibocdn.com/o0/GEwQAUA5lx08dgQq9Nle010412008onB0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191871&ssig=iJ9jb4JBhV&KID=unistore,video",,
5011793880025014,O4WOo06vs,1774057271,生命时报,【#吃麻辣烫记住这个健康比例#】近日，#天水麻辣烫#出圈了！其实选对食材，麻辣烫也可以吃得很健康，且可以做到食物多样化↓↓①按照“主食:蔬菜:蛋白质类食物≈1:2:1”来选择，其中主食最好粗细粮搭配，如荞麦面。②蔬菜中有2/3是绿叶菜，1/3是菌菇类。蛋白质类食物中一半为豆制品，另一半为动物性食物，如鸡胸肉、瘦肉片、鱼片等。③墨鱼花、蟹肉棒、芝士丸等大部分是淀粉制品，盐含量往往较高，尽量不选。④选汤底时，备注少油少盐，避免油盐摄入超标。,,,,"吃麻辣烫记住这个健康比例,天水麻辣烫",206,58,1227,2024-03-14 11:50,微博网页版,[],,,
5011514300566369,O4Pxs2nkZ,7467277921,西部决策,【“甘肃麻辣烫”火出圈！#网友喊话甘肃文旅#：泼天富贵来了】最近#天水麻辣烫#火爆出圈，不少网红博主，吃货“特种兵”甚至不远千里坐高铁去甘肃吃麻辣烫。面对这“泼天的富贵”甘肃网友紧急催更天水文旅“起来干活”！#外地人被甘肃天水麻辣烫整懵了#@西部决策O“甘肃麻辣烫”火出圈！网友喊话甘肃文旅：泼天富贵来了,,,西部决策,"网友喊话甘肃文旅,天水麻辣烫,外地人被甘肃天水麻辣烫整懵了",19,39,334,2024-03-13 17:19,微博 weibo.com,,,,
5011457835796076,O4O4nojP6,2180249535,马心瑞_Marie,#天水麻辣烫##天水美食#天水不止麻辣烫！面皮，呱呱，牛肉面，烧烤，降水面，扁食，麻辣粉……柿饼～樱桃，苹果……这泼天的的富贵，值得你们拥有！你们去天水玩，我请客吃好吃的(部分图片来自网络)#日常碎片plog#,,,,"天水麻辣烫,天水美食,日常碎片plog",1058,1183,3828,2024-03-13 13:35,iPhone 15 Pro Max,"['https://wx4.sinaimg.cn/large/81f3f7bfly1hnpasx21vkj20ic0og77c.jpg', 'https://wx3.sinaimg.cn/large/81f3f7bfly1hnpb1okawoj20u0141gtx.jpg', 'https://wx1.sinaimg.cn/large/81f3f7bfly1hnpasxoge2j20qo0zktec.jpg', 'https://wx3.sinaimg.cn/large/81f3f7bfly1hnpatw4zgqj21400u07e8.jpg', 'https://wx1.sinaimg.cn/large/81f3f7bfly1hnpatwgzezj20u0140jzg.jpg', 'https://wx1.sinaimg.cn/large/81f3f7bfly1hnpatwye6rj20u0140jzs.jpg', 'https://wx2.sinaimg.cn/large/81f3f7bfly1hnpawzn8ioj20u01hbgvu.jpg', 'https://wx3.sinaimg.cn/large/81f3f7bfly1hnpaxhpvh4j20rs0rs0xh.jpg', 'https://wx4.sinaimg.cn/large/81f3f7bfly1hnpaxx61iwj20u0140gxo.jpg']",,,北京
5013058529788032,O5tI8F4ju,7467277921,西部决策,【#天水大叔烙锅盔免费送游客#：想让大家更了解天水】#天水麻辣烫一条街将开启#3月17日，甘肃天水。王先生的姑父是一位泥瓦匠，最近他看到全国各地的游客来到天水吃麻辣烫，就想让游客更了解天水，于是他烙了一些当地特色的锅盔，免费送给游客们品尝。#天水麻辣烫#@西部决策L西部决策的微博视频,,,西部决策,"天水大叔烙锅盔免费送游客,天水麻辣烫一条街将开启,天水麻辣烫",14,34,232,2024-03-17 23:35,微博视频号,,"http://f.video.weibocdn.com/o0/RCtOEAmGlx08dmE8Z1Wg01041200f8yS0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191884&ssig=I2cE09HqBK&KID=unistore,video",,
5012966451710462,O5rjD7aY6,6416660263,Renyi毅哥,呕心沥血熬夜整理！一条视频带你完美解锁天水麻辣烫！#天水麻辣烫##微博尝鲜计划#LRenyi毅哥的微博视频,,,,"天水麻辣烫,微博尝鲜计划",536,205,2947,2024-03-17 17:30,微博视频号,,"http://f.video.weibocdn.com/o0/FMcn52fllx08dkVXsnva01041203198P0E020.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1713191884&ssig=7sLbOnWJ0T&KID=unistore,video",,四川
